Batch_ID,Line,Design,Resin_Supplier,Resin_kg,Powder_400_kg,Pigment_kg,Ambient_Temp_C,Mixer_Temp_C,True_Viscosity_cP,Dry_Mix_sec,Resin_Mix_sec,Powder_Mix_sec,Final_Mix_sec,Torque_Stab_sec,Dist_Time_sec,Press_Vac_85_99_sec,Press_Vib_sec,Total_Press_sec,System_Warning
BCH-9050,C1,Noah,Ojaswi,27,77,23.0,35,38.4,315.8,163,172,225,203,146,180,27.8,42.0,124.4,
BCH-9051,C1,Noah,Ojaswi,27,77,23.0,25,29.9,549.3,163,172,225,203,170,180,33.1,41.5,129.9,
BCH-9052,C1,Noah,Ojaswi,27,77,23.0,28,32.6,469.7,163,172,225,203,164,180,29.6,52.6,113.0,
BCH-9053,C1,Noah,Ojaswi,27,77,23.0,30,34.9,413.7,163,172,225,203,158,180,30.5,41.8,124.4,
BCH-9054,C1,Noah,Ojaswi,27,77,23.0,32,36.8,366.8,163,172,225,203,154,180,29.7,42.1,149.6,
BCH-9055,C1,Noah,Ojaswi,27,77,23.0,35,39.2,315.8,163,172,225,203,146,180,27.8,42.0,124.4,
BCH-9056,C1,Noah,Ojaswi,27,77,23.0,25,29.8,549.3,163,172,225,203,170,180,33.1,41.5,129.9,
BCH-9057,C1,Noah,Ojaswi,27,77,23.0,28,31.2,469.7,163,172,225,203,164,180,29.6,52.6,113.0,
BCH-9058,C1,Noah,Ojaswi,27,77,23.0,30,33.4,413.7,163,172,225,203,158,180,30.5,41.8,124.4,
BCH-9059,C1,Noah,Ojaswi,27,77,23.0,32,35.1,366.8,163,172,225,203,154,180,29.7,42.1,149.6,
BCH-9060,C1,Noah,Ojaswi,27,77,23.0,35,38.7,315.8,163,172,225,203,146,180,27.8,42.0,124.4,
BCH-9061,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,25,28.8,650.0,180,130,130,180,182,264,40.1,103.0,322.6,
BCH-9062,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,28,31.5,557.0,180,130,130,180,168,264,38.5,93.0,317.5,
BCH-9063,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,30,34.7,482.9,180,130,130,180,158,263,39.2,93.0,322.0,
BCH-9064,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,32,35.7,422.9,180,130,130,180,151,259,40.5,80.3,319.6,
BCH-9065,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,35,38.6,365.0,180,130,130,180,143,262,39.8,103.0,322.2,
BCH-9066,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,25,29.1,650.0,180,130,130,180,182,264,40.1,103.0,322.6,
BCH-9067,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,28,31.3,557.0,180,130,130,180,168,264,38.5,93.0,317.5,
BCH-9068,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,30,34.6,482.9,180,130,130,180,158,263,39.2,93.0,322.0,
BCH-9069,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,32,35.1,422.9,180,130,130,180,151,259,40.5,80.3,319.6,
BCH-9070,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,35,40.0,365.0,180,130,130,180,143,262,39.8,103.0,322.2,
BCH-9071,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,25,29.5,650.0,180,130,130,180,182,264,40.1,103.0,322.6,
BCH-9072,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,28,31.4,557.0,180,130,130,180,168,264,38.5,93.0,317.5,
BCH-9073,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,30,33.0,482.9,180,130,130,180,158,263,39.2,93.0,322.0,
BCH-9074,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,32,36.6,422.9,180,130,130,180,151,259,40.5,80.3,319.6,
BCH-9075,A5 Line 1,Peppercorn White,Astrix,128,348,10.0,35,39.4,365.0,180,130,130,180,143,262,39.8,103.0,322.2,
BCH-9076,C1,Bianco Superior,Ojaswi,175,389,45.6,25,29.5,549.3,150,121,100,200,165,215,35.5,65.0,135.0,
BCH-9077,C1,Bianco Superior,Ojaswi,175,389,45.6,28,32.5,469.7,150,121,100,200,158,215,34.2,64.5,134.1,
BCH-9078,C1,Bianco Superior,Ojaswi,175,389,45.6,30,33.1,413.7,150,121,100,200,152,215,36.1,65.8,136.2,
BCH-9079,C1,Bianco Superior,Ojaswi,175,389,45.6,32,35.7,366.8,150,121,100,200,146,215,35.0,64.0,133.5,
BCH-9080,C1,Bianco Superior,Ojaswi,175,389,45.6,35,38.2,315.8,150,121,100,200,139,215,35.8,66.0,136.5,
BCH-9081,C1,Bianco Superior,Ojaswi,175,389,45.6,25,29.7,549.3,150,121,100,200,165,215,35.5,65.0,135.0,
BCH-9082,C1,Bianco Superior,Ojaswi,175,389,45.6,28,32.2,469.7,150,121,100,200,158,215,34.2,64.5,134.1,
BCH-9083,C1,Bianco Superior,Ojaswi,175,389,45.6,30,33.7,413.7,150,121,100,200,152,215,36.1,65.8,136.2,
BCH-9084,C1,Bianco Superior,Ojaswi,175,389,45.6,32,35.1,366.8,150,121,100,200,146,215,35.0,64.0,133.5,
BCH-9085,C1,Bianco Superior,Ojaswi,175,389,45.6,35,38.6,315.8,150,121,100,200,139,215,35.8,66.0,136.5,
BCH-9086,C1,Bianco Superior,Ojaswi,175,389,45.6,25,28.7,549.3,150,121,100,200,165,215,35.5,65.0,135.0,
BCH-9087,C1,Bianco Superior,Ojaswi,175,389,45.6,28,32.5,469.7,150,121,100,200,158,215,34.2,64.5,134.1,
BCH-9088,C1,Bianco Superior,Ojaswi,175,389,45.6,30,34.3,413.7,150,121,100,200,152,215,36.1,65.8,136.2,
BCH-9089,C1,Bianco Superior,Ojaswi,175,389,45.6,32,36.8,366.8,150,121,100,200,146,215,35.0,64.0,133.5,
BCH-9090,C1,Bianco Superior,Ojaswi,175,389,45.6,35,38.9,315.8,150,121,100,200,139,215,35.8,66.0,136.5,
BCH-9091,A5 Line 2,Nero Classic,Astrix,128,384,70.0,25,28.2,650.0,180,130,130,180,180,225,30.0,60.0,125.0,
BCH-9092,A5 Line 2,Nero Classic,Astrix,128,384,70.0,28,32.4,557.0,180,130,130,180,166,225,29.5,60.5,124.5,
BCH-9093,A5 Line 2,Nero Classic,Astrix,128,384,70.0,30,34.5,482.9,180,130,130,180,158,225,31.0,59.5,126.0,
BCH-9094,A5 Line 2,Nero Classic,Astrix,128,384,70.0,32,36.1,422.9,180,130,130,180,150,225,30.2,60.2,125.1,
BCH-9095,A5 Line 2,Nero Classic,Astrix,128,384,70.0,35,39.5,365.0,180,130,130,180,143,225,30.8,59.8,125.6,
BCH-9096,A5 Line 2,Nero Classic,Astrix,128,384,70.0,25,29.0,650.0,180,130,130,180,180,225,30.0,60.0,125.0,
BCH-9097,A5 Line 2,Nero Classic,Astrix,128,384,70.0,28,32.0,557.0,180,130,130,180,166,225,29.5,60.5,124.5,
BCH-9098,A5 Line 2,Nero Classic,Astrix,128,384,70.0,30,33.9,482.9,180,130,130,180,158,225,31.0,59.5,126.0,
BCH-9099,A5 Line 2,Nero Classic,Astrix,128,384,70.0,32,35.1,422.9,180,130,130,180,150,225,30.2,60.2,125.1,
BCH-9100,A5 Line 2,Nero Classic,Astrix,128,384,70.0,35,38.2,365.0,180,130,130,180,143,225,30.8,59.8,125.6,
BCH-9101,A5 Line 2,Nero Classic,Astrix,128,384,70.0,25,28.1,650.0,180,130,130,180,180,225,30.0,60.0,125.0,
BCH-9102,A5 Line 2,Nero Classic,Astrix,128,384,70.0,28,32.3,557.0,180,130,130,180,166,225,29.5,60.5,124.5,
BCH-9103,A5 Line 2,Nero Classic,Astrix,128,384,70.0,30,33.6,482.9,180,130,130,180,158,225,31.0,59.5,126.0,
BCH-9104,A5 Line 2,Nero Classic,Astrix,128,384,70.0,32,36.0,422.9,180,130,130,180,150,225,30.2,60.2,125.1,
BCH-9105,A5 Line 2,Nero Classic,Astrix,128,384,70.0,35,39.8,365.0,180,130,130,180,143,225,30.8,59.8,125.6,
BCH-9106,C1,New Fossil Grey,Astrix,158,491,9.7,25,28.5,650.0,180,130,130,180,188,210,30.0,60.0,125.0,
BCH-9107,C1,New Fossil Grey,Astrix,158,491,9.7,28,31.8,557.0,180,130,130,180,174,210,29.8,60.5,124.8,
BCH-9108,C1,New Fossil Grey,Astrix,158,491,9.7,30,34.5,482.9,180,130,130,180,165,210,30.5,59.5,125.5,
BCH-9109,C1,New Fossil Grey,Astrix,158,491,9.7,32,35.5,422.9,180,130,130,180,158,210,30.1,60.2,125.1,
BCH-9110,C1,New Fossil Grey,Astrix,158,491,9.7,35,38.2,365.0,180,130,130,180,150,210,30.6,59.8,125.6,
BCH-9111,C1,New Fossil Grey,Astrix,158,491,9.7,25,28.6,650.0,180,130,130,180,188,210,30.0,60.0,125.0,
BCH-9112,C1,New Fossil Grey,Astrix,158,491,9.7,28,31.3,557.0,180,130,130,180,174,210,29.8,60.5,124.8,
BCH-9113,C1,New Fossil Grey,Astrix,158,491,9.7,30,34.9,482.9,180,130,130,180,165,210,30.5,59.5,125.5,
BCH-9114,C1,New Fossil Grey,Astrix,158,491,9.7,32,36.6,422.9,180,130,130,180,158,210,30.1,60.2,125.1,
BCH-9115,C1,New Fossil Grey,Astrix,158,491,9.7,35,39.3,365.0,180,130,130,180,150,210,30.6,59.8,125.6,
BCH-9116,C1,New Fossil Grey,Astrix,158,491,9.7,25,29.7,650.0,180,130,130,180,188,210,30.0,60.0,125.0,
BCH-9117,C1,New Fossil Grey,Astrix,158,491,9.7,28,32.6,557.0,180,130,130,180,174,210,29.8,60.5,124.8,
BCH-9118,C1,New Fossil Grey,Astrix,158,491,9.7,30,33.4,482.9,180,130,130,180,165,210,30.5,59.5,125.5,
BCH-9119,C1,New Fossil Grey,Astrix,158,491,9.7,32,36.8,422.9,180,130,130,180,158,210,30.1,60.2,125.1,
BCH-9120,C1,New Fossil Grey,Astrix,158,491,9.7,35,39.1,365.0,180,130,130,180,150,210,30.6,59.8,125.6,
